date,close,high,low,open,volume
2015-05-28,7893.29248046875,7980.2235217852885,7841.134129911405,7910.678825848347,467751
2015-05-29,7823.74755859375,7910.677904200872,7806.36121523978,7910.677904200872,144488
2015-06-01,7702.044921875,7806.361616194059,7702.044921875,7806.361616194059,301922
2015-06-02,7597.728515625,7702.045213899243,7597.728515625001,7702.045213899243,319002
2015-06-03,7684.6591796875,7788.975187291386,7580.3424865022225,7597.7281449788425,257796
2015-06-04,7719.43115234375,7736.816810753077,7684.659149943708,7684.659149943708,90655
2015-06-05,7788.9755859375,7806.361930885357,7684.659572994635,7736.817236675355,233544
2015-06-08,7702.044921875,7841.133619106613,7702.044921875,7823.747960441035,282233
2015-06-09,7702.044921875,7858.5199633535885,7684.659263209422,7684.659263209422,249849
2015-06-10,7754.20361328125,7771.589958300091,7667.273259349907,7702.045263806159,100862
2015-06-11,7788.9755859375,7806.361930885357,7754.203581623212,7754.203581623212,169592
2015-06-12,7841.13330078125,7875.905987863539,7806.36129928033,7806.36129928033,304195
2015-06-15,7823.74755859375,7893.291560846903,7788.974871885811,7893.291560846903,137955
2015-06-16,7736.81591796875,7858.518940697146,7736.815917968749,7823.746942309594,193565
2015-06-17,7719.43115234375,7754.203154743793,7702.0448083530355,7719.43115234375,195176
2015-06-18,7736.81591796875,7823.746942309594,7719.430261565627,7719.430261565627,130949
2015-06-19,7788.9755859375,7841.133935199645,7736.817236675355,7736.817236675355,211897
2015-06-22,7928.06494140625,7962.836945576016,7806.3618984399345,7823.748243315528,514328
2015-06-23,7910.67724609375,7945.449244327566,7893.29090418619,7928.063588001311,251864
2015-06-24,7858.5205078125,7928.065204037243,7858.5205078125,7928.065204037243,144092
2015-06-25,7823.74755859375,7858.5195597203265,7823.74755859375,7841.1332163663565,236225
2015-06-26,8049.7666015625,8327.94466757057,7841.1332234517895,7841.1332234517895,1700065
2015-06-29,8136.6982421875,8293.173300673227,8084.540574940397,8136.6982421875,377762
2015-06-30,8067.15234375,8119.310684390722,8049.766001675988,8049.766001675988,423261
2015-07-01,8136.6982421875,8188.856595016076,8014.995875975139,8067.154228803714,297840
2015-07-02,8206.2412109375,8241.013210298017,8101.924527274623,8119.310869745545,440221
2015-07-03,8171.46826171875,8241.012252355931,8154.08192126883,8241.012252355931,306275
2015-07-06,8258.4013671875,8258.4013671875,8171.471006896441,8188.856667605765,395509
2015-07-07,8275.78515625,8414.87382685341,8206.24047815766,8241.012474413197,457434
2015-07-08,8119.31103515625,8310.558063907265,8101.924692331125,8275.786063838355,573447
2015-07-09,8119.31103515625,8154.08303522516,8032.3806921933065,8084.539035087341,403718
2015-07-10,8101.92529296875,8171.469983843618,8067.153290322012,8119.311637082816,337436
2015-07-13,8154.083984375,8258.400682305717,8084.539976142135,8101.925635409641,197631
2015-07-14,8154.083984375,8206.242333340359,8101.925635409641,8154.083984375,159767
2015-07-15,8067.15234375,8171.469025031443,8067.15234375,8171.469025031443,264446
2015-07-16,8067.15234375,8067.15234375,7962.835662468557,8032.380345183289,246740
2015-07-17,8067.15234375,8154.082682957433,8032.380345183289,8049.766001675988,127412
2015-07-20,8032.38330078125,8067.15531214268,7980.224940948324,8067.15531214268,169523
2015-07-21,7928.06494140625,8014.995294621376,7893.292251655061,7997.6089497457815,353902
2015-07-22,8084.5390625,8084.5390625,7910.6776904032495,7928.064033287327,183737
2015-07-23,8171.46826171875,8327.943269024281,8067.151590181729,8067.151590181729,864294
2015-07-24,8275.78515625,8310.557152505535,8206.24047815766,8206.24047815766,491748
2015-07-27,8519.19140625,8606.121748914646,8310.558035389782,8327.944378155245,753360
2015-07-28,8380.1025390625,8519.191221424646,8380.1025390625,8519.191221424646,256185
2015-07-29,8327.9462890625,8467.035006357108,8293.173595552726,8380.104643745664,451874
2015-07-30,8223.6279296875,8345.330275808567,8223.6279296875,8327.944618123476,378885
2015-07-31,8223.6279296875,8310.558274857027,8223.6279296875,8293.17193159058,218584
2015-08-03,8084.5390625,8171.4694057577035,8067.152719615921,8171.4694057577035,458977
2015-08-04,8171.46826171875,8241.012252355931,8101.92358550032,8154.08192126883,212466
2015-08-05,8241.013671875,8241.013671875,8154.0833258141,8206.241670566913,126354
2015-08-06,8136.6982421875,8275.787640118016,8136.6982421875,8241.014947844651,226575
2015-08-07,8223.6279296875,8258.39993063904,8119.311241251525,8171.469585469513,220712
2015-08-10,8432.2607421875,8432.2607421875,8258.399377903643,8258.399377903643,476768
2015-08-11,8397.48828125,8519.191308042607,8345.329939136216,8432.260966380078,347813
2015-08-12,8275.78515625,8345.329148761071,8223.626819076062,8345.329148761071,507585
2015-08-13,8171.46826171875,8275.78493325577,8136.695580818911,8275.78493325577,6352157
2015-08-14,8136.6982421875,8223.629287289441,8084.540574940397,8154.084588324183,283638
2015-08-17,8032.38330078125,8188.857694698464,7997.610603838256,8136.699334865538,3295500
2015-08-18,8101.92529296875,8119.311637082816,7997.608599447145,8032.3812876752745,3035337
2015-08-19,8190.76220703125,8261.831999305436,8084.157868928001,8155.227661202186,3475631
2015-08-20,8084.158203125,8208.530169592314,8066.39057916793,8208.530169592314,1551405
2015-08-21,8030.857421875,8030.857421875001,7817.6486999517,8013.089794842656,4784721
2015-08-24,7533.36865234375,7924.250726999963,7515.601030544468,7888.716184017399,8511591
2015-08-25,7622.20849609375,7728.812869517407,7462.301935958264,7462.301935958264,5259620
2015-08-26,7835.41552734375,7906.484626987783,7639.974452398457,7639.974452398457,3879058
2015-08-27,7870.9482421875,7924.2504048020955,7817.6460795729045,7835.41370064976,2834532
2015-08-28,7942.01806640625,7959.784986957797,7870.948282352137,7924.2504452387275,3567735
2015-08-31,7853.18212890625,7959.785764476592,7835.414506003171,7906.483596383398,1549103
2015-09-01,7835.41552734375,7888.717702384843,7799.880977521734,7888.717702384843,1290475
2015-09-02,7835.41552734375,7835.41552734375,7835.41552734375,7835.41552734375,0
2015-09-03,7764.34423828125,7835.4140249138845,7764.34423828125,7799.879481905568,1458896
2015-09-04,7782.1142578125,7835.416439055718,7746.579703855761,7764.346630526022,808228
2015-09-07,7746.5791015625,7817.648203950385,7711.043849752393,7817.648203950385,579561
2015-09-08,7799.8798828125,7835.414427647261,7728.810092526941,7728.810092526941,787796
2015-09-09,7835.41552734375,7888.717702384843,7835.41552734375,7870.950077165766,1420133
2015-09-10,7853.18212890625,7853.18212890625,7799.879960813057,7835.414506003171,923994
2015-09-11,7817.64697265625,7888.716764466673,7817.64697265625,7888.716764466673,720242
2015-09-14,7764.34423828125,7817.646403101726,7764.34423828125,7817.646403101726,861124
2015-09-15,7764.34423828125,7799.879481905568,7728.809695272934,7746.5773170850935,368015
2015-09-16,7764.34423828125,7799.879481905568,7746.5773170850935,7764.34423828125,499570
2015-09-17,7782.1142578125,7817.64881176924,7764.346630526022,7764.346630526022,492544
2015-09-18,7924.251953125,7977.554126154329,7835.41523161482,7924.251953125,3002630
2015-09-21,8084.158203125,8084.158203124999,7906.484065402563,7906.484065402563,2215601
2015-09-22,8030.857421875,8101.9272293881695,8013.089794842656,8084.159602355826,1168611
